,brand,mileage,deposit,number_of_miles,first_registration,duration,monthly_fee,horsepower,kilowatts,fuel_type,emissions,consumption
8423,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"779,45 €",340 PS,250 kW,Elektro,155 g/km,"5,9 l/100 km"
8424,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"268,76 €",116 PS,85 kW,Hybrid,138 g/km,"6,5 l/100 km"
8425,Renault,5.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"297,16 €",131 PS,96 kW,Elektro,119 g/km,"5,2 l/100 km"
8426,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",8.106 km,05/2022,48 Monate (anpassbar),"449,00 €",150 PS,110 kW,Benzin,175 g/km,"7,7 l/100 km"
8427,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"189,00 €",101 PS,74 kW,Benzin,178 g/km,"6,8 l/100 km"
8428,Peugeot,10.000 km (anpassbar),"0,00 € (anpassbar)",15 km,Neuwagen,24 Monate (anpassbar),"329,00 €",131 PS,96 kW,Diesel,128 g/km,"5,5 l/100 km"
8429,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"340,34 €",150 PS,110 kW,Benzin,135 g/km,"5,5 l/100 km"
8430,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"285,60 €",83 PS,61 kW,Elektro,138 g/km,"6,1 l/100 km"
8431,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",25.700 km,06/2022,36 Monate (anpassbar),"469,00 €",245 PS,180 kW,Diesel,132 g/km,"5,9 l/100 km"
8432,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",8.004 km,07/2022,48 Monate (anpassbar),"559,00 €",313 PS,230 kW,Elektro,135 g/km,"5,9 l/100 km"
